# linear	RBF	ST	SST	PT	recursive	tree echo state
0.390244	0.642857	0.880952	0.619048	0.619048	0.846154	0.578947
0.871795	0.820513	0.825	0.833333	0.829268	0.775	0.97561
0.902439	0.75	0.829268	0.886364	0.75	0.813953	0.475
0.651163	0.837209	0.813953	0.857143	0.857143	0.744186	0.641026
0.575	0.829268	0.853659	0.833333	0.833333	0.641026	0.615385
0.625	0.95122	0.897436	0.634146	0.634146	0.804878	0.435897
0.756098	0.767442	0.675	0.880952	0.880952	0.6	0.736842
0.815789	0.829268	0.65	0.833333	0.833333	0.857143	0.657895
0.975	0.833333	0.825	0.897436	0.95122	0.902439	0.825
0.785714	0.714286	0.682927	0.837209	0.837209	0.658537	0.5
